source_slot,source_well,destination_slot,destination_well,volume
C2,A1,D2,A1,10
C2,A1,D2,B1,10
C2,A1,D2,C1,10
C2,B1,D2,D1,10
C2,B1,D2,E1,10
C2,B1,D2,F1,10
C2,C1,D2,G1,10
C2,C1,D2,H1,10
